Word,ID,Meanings-notS,Smeaning,Num_Synonyms,Representativeness,Antonym_Count,Hyponym_Count,Hypernym_Count,Word_Frequency,Zipf_Frequency,Num_Letters,Num_Syllables,Inv_Num_Letters,Inv_Num_Syllables,Syllables_per_Letter,Flesch_Reading_Ease,Sentiment_Positive,Sentiment_Negative,Polarity,Blob_Positive,Blob_Negative,Blob_Polarity,SWN_Positive_Avg,SWN_Negative_Avg,SWN_Polarity_Avg,SWN_Positive_Max,SWN_Negative_Max,SWN_Polarity_Max,SWN_Positive_Avg4,SWN_Negative_Avg5,SWN_Polarity_Avg6,SWN_Positive_Max7,SWN_Negative_Max8,SWN_Polarity_Max9,GPT_Positive_Score,GPT_Negative_Score,DepSeek_Positive_Score,DeepSeek_Negative_Score,Sum
break,312,75,9.729341266,8.420204729,-0.320300015,4.21810906,2.440167151,9.929593157,0.323993345,1.042437916,-0.651883821,-1.097762386,0.379020388,1.394672249,-1.286837079,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.089479438,0.5782691,-0.322078728,2.308203324,1.396158969,0.77325771,1.208939981,-0.576926895,-0.400310907,-1.172503146,103.5874194
broken,326,72,9.300245219,7.19557615,-0.426546429,5.175656888,1.389269709,7.651064134,-0.109606082,0.410460976,-0.217544831,-0.111480839,-0.125490619,-0.342513153,0.141205999,0.111480839,-0.33569675,3.640224104,-2.879983208,-0.239838513,4.56841685,-2.796308709,0,0,0,0,0,0,-0.270256751,0.766135785,-0.707543175,2.308203324,1.396158969,0.77325771,-1.221272625,1.545032295,-0.400310907,-2.694669433,96.19308171
cut,647,70,9.014181188,5.123127785,-0.66433602,4.21810906,2.152017852,7.789156802,0.456786778,1.168833304,-1.520561802,-1.097762386,2.397064432,1.394672249,0.141205999,1.097762386,-0.33569675,3.640224104,-1.677839188,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.320573703,-0.023224503,0.24707618,1.787498741,1.396158969,0.333646339,-0.587304119,-1.316397521,-0.400310907,-1.172503146,94.35809039
best,261,43,5.152316767,3.427488214,-0.524556686,5.175656888,-0.492175712,0.332152724,3.447525833,2.432787183,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,2.978879007,-0.274708362,3.698432424,8.263961273,-0.183761516,6.688764041,0,0,0,0,0,0,2.825396355,-0.521488137,2.389474654,3.349612492,0.698572572,2.239801241,-0.939508844,-0.737681379,3.968365102,0.349663141,92.28556793
better,263,50,6.153540876,3.521690413,-0.637622637,6.133204715,0.473971937,0.470245392,2.772011413,2.264259999,-0.217544831,-0.111480839,-0.125490619,-0.342513153,0.141205999,0.111480839,2.978879007,-0.274708362,2.537639795,4.01206138,-0.183761516,3.301238059,0,0,0,0,0,0,3.043124516,-0.54181689,2.560330687,3.349612492,0.698572572,2.239801241,-1.714359241,1.834390366,2.8761961,0.349663141,91.52028197
make,1544,51,6.296572892,5.594138777,-0.286967806,1.345465578,3.965663437,5.234442442,6.380528613,2.938368735,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,1.640841761,-0.336246685,1.410012894,2.828907908,0.874013462,1.65248045,-1.714359241,-0.866284966,-0.400310907,0.349663141,81.1190265
run,2219,57,7.154764985,5.499936579,-0.424682456,1.345465578,2.084218017,6.891554459,1.236226493,1.695480753,-1.520561802,-1.097762386,2.397064432,1.394672249,0.141205999,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,-0.222254277,0.781689679,-0.683273189,1.266794157,1.396158969,-0.105965031,0.610191948,-0.287568823,-0.400310907,0.349663141,79.26145945
good,1159,27,2.863804518,2.48546623,-0.288819596,4.21810906,0.202772597,-0.42735695,7.073363915,3.022632327,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,2.978879007,-0.274708362,2.537639795,5.712821337,-0.183761516,4.656248452,0,0,0,0,0,0,3.358730313,-0.612976438,2.835874429,3.349612492,-0.170277552,2.971314561,0.751073838,1.673635882,3.422280601,0.349663141,77.33513298
play,1899,52,6.439604907,3.239083817,-0.718042999,0.387917751,3.287665088,4.682071769,1.80204199,1.948271529,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,2.978879007,-0.274708362,1.944542696,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.209331607,-0.042195543,0.179414408,1.266794157,1.396158969,-0.105965031,-1.326934042,1.480730501,2.330111599,0.349663141,77.19785952
take,2560,44,5.295348783,5.782543174,-0.062732952,4.21810906,5.203010426,5.924905782,4.255833686,2.601314367,-1.086222811,-1.097762386,1.135786907,1.394672249,-0.751320923,1.097762386,-0.33569675,-0.274708362,-0.063953456,-0.239838513,-0.183761516,-0.086287923,0,0,0,0,0,0,0.481582005,0.394138407,0.084265041,1.787498741,1.396158969,0.333646339,0.751073838,-0.41617241,-0.400310907,0.349663141,76.19319561
